,經度,緯度
0,121.5661055,25.0412081
1,121.5757383,25.0409179
2,121.5932972,25.0505408
3,121.5437477,25.0417254
4,121.5328447,25.0424459
5,121.5169483,25.0475879
6,121.5228728,25.0263915
7,121.5283902,25.0205325
8,121.5352779,25.0140007
9,121.5340853,25.0150952
10,121.6000974,25.0845526
11,121.5156445,25.1145190
12,121.5062620,25.1209151
13,121.5011573,25.1257587
14,121.5031693,25.1369644
15,121.5207179,25.0576251
16,121.4671227,25.1257044
17,121.5332382,25.0593837
18,121.4995718,25.0352082
19,121.5762884,24.9959573
20,121.5388032,25.0026460
21,121.5240603,25.1060814
22,121.5576510,24.9991236
23,121.5767839,24.9693040
24,121.5237877,25.0881482
25,121.6043402,25.0518878
26,121.5085874,25.0427205
27,121.5697687,25.0329205
28,121.5434456,25.0260996
29,121.5531104,25.0238087
30,121.5441859,25.0606883
31,121.5517952,25.0631099
32,121.5673156,25.0821916
33,121.5023013,25.0399621
34,121.5083093,25.0414373
35,121.5103681,25.0422483
36,121.5023368,25.0425750
37,121.5145096,25.0385723
38,121.5144742,25.0387044
39,121.5167287,25.0367176
40,121.5336269,25.0180107
41,121.5335107,25.0184771
42,121.5707281,25.0190525
43,121.5733265,25.0211567
44,121.5696486,25.0246487
45,121.5751417,25.0178725
46,121.5670314,25.0409345
47,121.5387061,25.0680873
48,121.5599866,25.0335495
49,121.5362865,25.0259237
50,121.5302539,25.0336806
51,121.5378696,25.0235970
52,121.5260515,25.0199394
53,121.5310136,25.0180704
54,121.5420868,25.0678891
55,121.5832565,25.0377658
56,121.5594645,25.0259735
57,121.5622434,25.0143081
58,121.5624929,25.0138633
59,121.5234388,25.0836255
60,121.5585521,25.0068302
61,121.5842380,25.0473719
62,121.5836580,25.0464946
63,121.5767609,25.0501069
64,121.5226910,25.0267892
65,121.5244207,25.0243409
66,121.5794433,25.0669224
67,121.5916306,25.0411546
68,121.5910959,25.0399275
69,121.5570598,25.0054814
70,121.5581380,24.9994306
71,121.5400482,25.0042514
72,121.5681226,24.9986089
73,121.5731834,24.9982458
74,121.5794478,24.9983168
75,121.5589054,25.0184395
76,121.5587183,25.0070202
77,121.5799866,24.9711086
78,121.5573877,25.0340638
79,121.5023759,25.0405133
80,121.6073223,25.0726703
81,121.5945412,25.0550618
82,121.5872859,24.9899790
83,121.5896845,24.9789288
84,121.5881406,24.9691559
85,121.5874945,24.9901573
86,121.5829967,24.9919382
87,121.6100858,25.0592272
88,121.6077200,25.0526977
89,121.6139168,25.0565902
90,121.6141109,25.0565646
91,121.4669273,25.1250201
92,121.5756497,25.0409779
93,121.5991800,25.0564600
94,121.5988464,25.0565556
95,121.5962257,25.0554621
96,121.5967098,25.0555617
97,121.6187488,25.0552222
98,121.6174317,25.0551132
99,121.6023519,25.0837733
100,121.5848967,25.0785637
101,121.6067298,25.0544495
102,121.6068322,25.0543098
103,121.5592557,25.0584501
104,121.5633698,25.0608020
105,121.5505658,25.0286984
106,121.5261265,25.0934595
107,121.5155096,25.1144564
108,121.5063421,25.1207524
109,121.5009989,25.1257353
110,121.5960924,25.0683223
111,121.5961514,25.0680672
112,121.5280661,25.0209563
