,經度,緯度,x,y
0,,,4,6
1,,,5,7
2,,,3,7
3,,,3,9
4,,,4,5
5,,,4,4
6,,,4,5
7,,,4,6
8,,,6,2
9,,,4,4
10,,,3,9
11,,,6,4
12,,,5,2
13,,,7,4
14,,,2,10
15,,,5,5
16,,,4,5
17,,,3,6
18,,,5,4
19,,,5,1
20,,,5,2
21,,,5,4
22,,,2,4
23,,,6,5
24,,,3,4
25,,,4,8
26,,,3,8
27,,,6,5
28,,,4,8
29,,,2,10
30,,,3,8
31,,,4,9
32,,,6,5
33,,,5,5
34,,,6,3
35,,,5,5
36,,,6,4
37,,,3,4
38,,,5,3
39,,,6,2
40,,,8,6
41,,,3,7
42,,,3,5
43,,,6,1
44,,,4,8
45,,,5,4
46,,,5,3
47,,,5,8
48,,,4,5
49,,,3,5
50,,,3,4
51,,,5,3
52,,,4,9
53,,,4,3
54,,,6,5
55,,,3,8
56,,,7,5
57,,,2,4
58,,,3,4
59,,,3,5
60,,,6,7
61,,,6,2
62,,,7,6
63,,,3,5
64,,,3,7
65,,,3,4
66,,,4,9
67,,,7,5
68,,,3,5
69,,,3,4
70,,,7,7
71,,,3,4
72,,,6,6
73,,,7,7
74,,,5,6
75,,,6,6
76,,,6,7
77,,,6,7
78,,,7,6
79,,,7,6
80,,,5,2
81,,,1,8
82,,,5,5
