,經度,緯度,x,y
0,,,5,5
1,,,5,4
2,,,5,5
3,,,3,5
4,,,3,5
5,,,5,1
6,,,6,1
7,,,4,4
8,,,4,3
9,,,4,3
10,,,4,4
11,,,2,8
12,,,1,9
13,,,3,4
14,,,3,4
15,,,3,4
16,,,3,4
17,,,3,4
18,,,3,4
19,,,3,4
20,,,3,4
21,,,4,4
22,,,4,4
23,,,3,4
24,,,3,4
25,,,3,4
26,,,4,4
27,,,4,3
28,,,4,3
29,,,5,5
30,,,9,4
31,,,9,4
32,,,4,4
33,,,4,4
34,,,4,4
35,,,3,5
36,,,3,5
37,,,4,4
38,,,3,4
39,,,4,4
40,,,4,4
41,,,4,4
42,,,4,4
43,,,3,4
44,,,3,4
45,,,8,5
46,,,8,5
47,,,8,5
48,,,8,5
49,,,8,5
50,,,8,5
51,,,8,5
52,,,8,5
53,,,5,4
54,,,5,5
55,,,5,5
56,,,4,3
57,,,4,3
58,,,4,4
59,,,8,7
60,,,6,6
61,,,7,6
62,,,6,6
63,,,6,6
64,,,6,7
65,,,6,7
66,,,7,7
67,,,7,7
68,,,8,6
69,,,6,6
70,,,1,9
71,,,1,9
72,,,1,9
73,,,2,9
74,,,4,7
75,,,3,8
76,,,3,4
77,,,3,4
78,,,3,4
79,,,3,4
80,,,3,4
81,,,4,4
82,,,4,4
83,,,4,4
84,,,4,4
85,,,1,9
86,,,3,4
87,,,3,5
88,,,4,4
89,,,4,4
90,,,4,6
91,,,4,4
92,,,4,7
93,,,7,4
94,,,7,4
95,,,4,4
96,,,4,5
97,,,4,5
98,,,4,5
99,,,4,5
100,,,3,5
101,,,3,5
102,,,4,5
103,,,4,4
104,,,4,4
105,,,4,4
106,,,4,4
107,,,4,3
108,,,4,3
109,,,5,2
110,,,4,3
111,,,4,3
112,,,4,2
113,,,5,2
114,,,5,2
115,,,4,7
116,,,4,8
117,,,4,8
118,,,4,8
119,,,4,8
120,,,4,8
121,,,4,8
122,,,4,8
123,,,4,8
124,,,4,8
125,,,4,8
126,,,4,8
127,,,4,8
128,,,4,8
129,,,4,8
130,,,4,8
131,,,4,8
132,,,4,8
133,,,5,10
134,,,5,8
135,,,4,8
136,,,4,5
137,,,4,5
138,,,3,5
139,,,4,5
140,,,4,5
141,,,7,5
142,,,6,7
143,,,5,6
144,,,6,7
145,,,6,6
146,,,6,7
147,,,6,7
148,,,6,7
149,,,8,6
150,,,6,6
151,,,6,7
152,,,6,6
153,,,6,7
154,,,6,7
155,,,6,7
156,,,6,7
157,,,6,6
158,,,6,6
159,,,8,7
160,,,6,7
161,,,6,7
162,,,6,7
163,,,6,7
164,,,6,6
165,,,6,7
166,,,5,4
167,,,5,4
168,,,4,4
169,,,5,6
170,,,5,6
171,,,5,7
172,,,5,7
173,,,5,7
174,,,5,7
175,,,5,2
176,,,5,3
177,,,4,7
178,,,5,8
179,,,7,8
180,,,5,9
181,,,6,2
182,,,6,2
183,,,8,5
184,,,8,4
185,,,7,9
186,,,7,9
187,,,6,8
188,,,7,8
189,,,7,7
190,,,7,7
191,,,4,4
192,,,4,4
193,,,5,10
194,,,5,10
195,,,6,7
196,,,6,6
197,,,5,7
198,,,7,6
199,,,5,7
200,,,5,7
201,,,5,7
202,,,5,7
203,,,5,7
204,,,5,6
205,,,5,6
206,,,5,7
207,,,6,7
208,,,5,6
209,,,6,3
210,,,7,1
211,,,6,1
212,,,5,1
213,,,8,5
214,,,8,6
215,,,8,6
216,,,8,5
217,,,8,5
218,,,8,6
219,,,8,6
220,,,8,6
221,,,4,4
222,,,4,4
223,,,5,2
224,,,5,2
225,,,4,3
226,,,3,5
227,,,3,5
228,,,3,4
229,,,3,5
230,,,4,4
231,,,5,3
232,,,5,3
233,,,4,3
234,,,4,3
235,,,4,3
236,,,3,4
237,,,3,4
238,,,2,4
239,,,3,4
240,,,6,3
241,,,5,3
242,,,6,3
243,,,6,3
244,,,6,2
245,,,2,9
246,,,1,9
247,,,1,9
248,,,1,9
249,,,1,9
250,,,1,9
251,,,2,9
252,,,2,9
253,,,2,9
254,,,3,9
255,,,4,7
256,,,4,7
257,,,1,9
258,,,5,2
259,,,5,2
260,,,5,2
261,,,5,2
262,,,5,2
263,,,2,9
264,,,2,9
265,,,2,9
266,,,2,9
267,,,2,9
