,經度,緯度
0,121.5491411,25.0449370
1,121.5489957,25.0280986
2,121.5437953,25.0449613
3,121.5161359,25.0536700
4,121.5154408,25.0512603
5,121.5569384,24.9756494
6,121.5688424,24.9763532
7,121.5228147,25.0201111
8,121.5326699,25.0162714
9,121.5371476,25.0187311
10,121.5262506,25.0222424
11,121.4999257,25.1193027
12,121.4642746,25.1237921
13,121.5125123,25.0350606
14,121.5152176,25.0297811
15,121.5159181,25.0272216
16,121.5163155,25.0256934
17,121.5164306,25.0256692
18,121.5160433,25.0271730
19,121.5153159,25.0297969
20,121.5144699,25.0319251
21,121.5211394,25.0267769
22,121.5210407,25.0268570
23,121.5180106,25.0267709
24,121.5160252,25.0272716
25,121.5158937,25.0273140
26,121.5344444,25.0220660
27,121.5332649,25.0169773
28,121.5325730,25.0163646
29,121.5438407,25.0416900
30,121.6236899,25.0353527
31,121.6203838,25.0356548
32,121.5223895,25.0270177
33,121.5222923,25.0271109
34,121.5202882,25.0298254
35,121.5188275,25.0434757
36,121.5134485,25.0481247
37,121.5204576,25.0298603
38,121.5166608,25.0348589
39,121.5224656,25.0271507
40,121.5225652,25.0270028
41,121.5276733,25.0212490
42,121.5247805,25.0237864
43,121.5188431,25.0289716
44,121.5159324,25.0275869
45,121.6152516,25.0531230
46,121.6162437,25.0532229
47,121.6163366,25.0532237
48,121.6152615,25.0530207
49,121.6162247,25.0531048
50,121.6163181,25.0531051
51,121.6162390,25.0438537
52,121.6163387,25.0439022
53,121.5490449,25.0333557
54,121.5491118,25.0414438
55,121.5438379,25.0415558
56,121.5326756,25.0164493
57,121.5327708,25.0163548
58,121.5204984,25.0298039
59,121.6000974,25.0845526
60,121.5795532,25.0784327
61,121.5851940,25.0750084
62,121.5768747,25.0793376
63,121.5760946,25.0728381
64,121.5655026,25.0823265
65,121.5690749,25.0820389
66,121.5937240,25.0847824
67,121.5951299,25.0840520
68,121.6056393,25.0733200
69,121.5747494,25.0674909
70,121.4714472,25.1229759
71,121.4716578,25.1253522
72,121.4718107,25.1266976
73,121.4994121,25.1210026
74,121.5223672,25.0808004
75,121.5111399,25.1106903
76,121.5109648,25.0358880
77,121.5081219,25.0370481
78,121.5070428,25.0374357
79,121.5167709,25.0347041
80,121.5108427,25.0359342
81,121.5285197,25.0266691
82,121.5285070,25.0265196
83,121.5285824,25.0246540
84,121.5227544,25.0254341
85,121.4714317,25.1227844
86,121.5078343,25.0313190
87,121.5000898,25.0419190
88,121.5252338,25.0384177
89,121.5283825,25.0225689
90,121.5289830,25.0778433
91,121.5220505,25.0204079
92,121.5225095,25.0807440
93,121.5849079,25.0216483
94,121.5818922,25.0241107
95,121.5216897,25.0241088
96,121.5244051,25.0419930
97,121.5264941,25.0427567
98,121.5247460,25.0431734
99,121.5261538,25.0415845
100,121.5192534,25.0443730
101,121.5171543,25.0450278
102,121.5291321,25.0408580
103,121.5239078,25.0222923
104,121.5315420,25.0219631
105,121.5232846,25.0258080
106,121.5344496,25.0227411
107,121.5381330,25.0079817
108,121.5388085,25.0021844
109,121.5408468,24.9970530
110,121.5382769,25.0080799
111,121.5388380,25.0044111
112,121.5399524,24.9996862
113,121.5409358,24.9971618
114,121.5412048,24.9959397
115,121.5218983,25.0944533
116,121.5249053,25.1039773
117,121.5249480,25.1064879
118,121.5255769,25.1103529
119,121.5260441,25.1117508
120,121.5309709,25.1124128
121,121.5302253,25.1083571
122,121.5304155,25.1084277
123,121.5329743,25.1148279
124,121.5259523,25.1117966
125,121.5254635,25.1103857
126,121.5248454,25.1064454
127,121.5255694,25.1025886
128,121.5328245,25.1149178
129,121.5341534,25.1097486
130,121.5247092,25.1023200
131,121.5248830,25.1041229
132,121.5248085,25.1040228
133,121.5500504,25.1512257
134,121.5528686,25.1189750
135,121.5306140,25.1188476
136,121.5237738,25.0465192
137,121.5203797,25.0473957
138,121.5180170,25.0469958
139,121.5202598,25.0469766
140,121.5255376,25.0459166
141,121.5955703,25.0509387
142,121.5669167,25.0821535
143,121.5508670,25.0772556
144,121.5782460,25.0821750
145,121.5760339,25.0757124
146,121.5708579,25.0814831
147,121.5719213,25.0839454
148,121.5655225,25.0845766
149,121.6057068,25.0734172
150,121.5760379,25.0780572
151,121.5702601,25.0803836
152,121.5694496,25.0788517
153,121.5683844,25.0820889
154,121.5683379,25.0811459
155,121.5678836,25.0803529
156,121.5652567,25.0814148
157,121.5674893,25.0797285
158,121.5728286,25.0773405
159,121.6005135,25.0845461
160,121.5778760,25.0807399
161,121.5732629,25.0835662
162,121.5727820,25.0822523
163,121.5737757,25.0853329
164,121.5769318,25.0751111
165,121.5789937,25.0844318
166,121.5437649,25.0381548
167,121.5564626,25.0263657
168,121.5251551,25.0217925
169,121.5444891,25.0796797
170,121.5471344,25.0798336
171,121.5482125,25.0804735
172,121.5490628,25.0828709
173,121.5540884,25.0852353
174,121.5584918,25.0847550
175,121.5588721,24.9910754
176,121.5546069,25.0007836
177,121.5398923,25.0973113
178,121.5572408,25.1051787
179,121.5801182,25.1196314
180,121.5465539,25.1379038
181,121.5783030,24.9871099
182,121.5756719,24.9876708
183,121.6169830,25.0424322
184,121.6191459,25.0341940
185,121.5876760,25.1246854
186,121.5877236,25.1261097
187,121.5771374,25.1145010
188,121.5814200,25.1083235
189,121.5885430,25.0866668
190,121.5851375,25.0843060
191,121.5315957,25.0262791
192,121.5316101,25.0264219
193,121.5459116,25.1554526
194,121.5401023,25.1675073
195,121.5618441,25.0800406
196,121.5602147,25.0799217
197,121.5528671,25.0855856
198,121.5842699,25.0688114
199,121.5503111,25.0862037
200,121.5494910,25.0857709
201,121.5502100,25.0852649
202,121.5526930,25.0858121
203,121.5522868,25.0834495
204,121.5532421,25.0799364
205,121.5544036,25.0799261
206,121.5512210,25.0827079
207,121.5606494,25.0826191
208,121.5585044,25.0799329
209,121.5677603,25.0051306
210,121.5875069,24.9672332
211,121.5767839,24.9693040
