,經度,緯度,x,y
0,,,4,3
1,,,6,7
2,,,4,4
3,,,3,9
4,,,4,6
5,,,4,5
6,,,8,5
7,,,8,5
8,,,8,5
9,,,6,2
10,,,4,5
11,,,6,6
12,,,7,7
13,,,7,7
14,,,4,3
15,,,7,7
16,,,5,5
17,,,6,5
18,,,4,6
19,,,7,5
20,,,3,5
21,,,4,3
22,,,5,2
23,,,4,5
24,,,7,7
25,,,6,4
26,,,6,4
27,,,6,4
28,,,6,4
29,,,8,5
30,,,5,6
31,,,4,5
32,,,4,4
33,,,4,4
34,,,4,4
35,,,4,5
36,,,4,5
37,,,7,7
38,,,7,7
39,,,7,7
40,,,7,7
41,,,7,7
42,,,4,5
43,,,5,2
44,,,4,3
45,,,5,5
46,,,4,5
47,,,8,6
48,,,8,6
49,,,8,6
50,,,8,6
51,,,4,4
52,,,4,2
53,,,4,2
54,,,5,4
55,,,5,2
56,,,4,5
57,,,5,2
58,,,4,4
59,,,4,5
60,,,4,8
61,,,5,4
62,,,5,4
63,,,4,8
64,,,4,8
65,,,4,8
66,,,5,4
67,,,3,5
68,,,4,8
69,,,5,2
70,,,5,2
71,,,6,6
72,,,6,6
73,,,5,2
74,,,5,4
75,,,4,3
76,,,5,2
77,,,4,5
78,,,4,5
79,,,4,5
80,,,5,2
81,,,5,2
82,,,6,2
83,,,6,2
84,,,6,2
85,,,6,2
86,,,6,2
87,,,6,2
88,,,6,2
89,,,6,2
90,,,5,3
91,,,5,2
92,,,5,2
93,,,4,4
94,,,4,5
95,,,4,4
96,,,4,4
97,,,3,5
98,,,3,5
99,,,4,4
100,,,4,4
101,,,3,4
102,,,5,2
103,,,4,2
104,,,5,2
105,,,5,2
106,,,5,2
107,,,5,2
108,,,5,2
109,,,4,4
110,,,5,5
111,,,6,5
112,,,5,5
113,,,5,5
114,,,4,2
115,,,4,2
116,,,5,2
117,,,4,5
118,,,4,3
119,,,4,3
120,,,4,3
121,,,8,5
122,,,5,2
123,,,6,5
124,,,6,5
125,,,3,9
126,,,5,2
127,,,4,5
128,,,4,4
129,,,4,5
130,,,5,4
131,,,4,4
132,,,4,4
133,,,4,4
134,,,5,3
135,,,5,3
136,,,4,5
137,,,5,5
138,,,4,3
139,,,3,4
140,,,4,3
141,,,4,5
142,,,4,3
143,,,4,5
144,,,3,8
145,,,4,8
146,,,4,7
147,,,7,7
148,,,7,6
149,,,7,6
150,,,7,6
151,,,5,2
152,,,5,2
153,,,5,4
154,,,6,4
155,,,5,2
156,,,4,5
157,,,5,2
158,,,5,5
159,,,4,5
160,,,5,4
161,,,8,6
162,,,4,5
163,,,3,5
164,,,3,5
165,,,4,8
166,,,5,4
167,,,5,2
168,,,5,2
169,,,4,3
170,,,4,3
171,,,4,5
172,,,6,4
173,,,3,5
174,,,5,5
175,,,6,5
176,,,5,5
177,,,5,4
178,,,4,4
179,,,5,4
180,,,6,5
181,,,8,6
182,,,4,4
183,,,3,9
184,,,4,5
185,,,4,5
186,,,5,4
187,,,6,5
188,,,5,5
189,,,4,8
190,,,4,5
191,,,4,3
192,,,3,7
193,,,3,7
194,,,4,3
195,,,5,2
196,,,4,4
197,,,4,5
198,,,5,4
199,,,3,5
200,,,3,5
201,,,5,2
202,,,3,7
203,,,4,5
204,,,4,5
205,,,4,7
206,,,5,5
207,,,4,5
208,,,5,4
209,,,5,7
210,,,2,4
211,,,4,5
212,,,5,4
213,,,2,4
214,,,2,4
215,,,5,2
216,,,4,5
217,,,6,5
218,,,5,5
219,,,7,5
220,,,5,5
221,,,6,5
222,,,5,4
223,,,5,4
224,,,7,7
225,,,7,7
226,,,8,7
227,,,4,5
228,,,4,6
229,,,4,6
230,,,5,2
231,,,4,7
232,,,3,4
233,,,3,4
234,,,3,4
235,,,3,4
236,,,4,7
237,,,3,5
238,,,4,7
239,,,4,8
240,,,4,8
241,,,4,8
242,,,4,8
243,,,4,8
244,,,4,7
245,,,4,8
246,,,4,8
247,,,4,8
248,,,5,2
249,,,5,3
250,,,5,3
251,,,6,5
252,,,5,7
253,,,3,4
254,,,5,2
255,,,5,2
256,,,4,7
257,,,4,7
258,,,5,4
259,,,7,5
260,,,4,5
261,,,6,5
262,,,7,5
263,,,7,5
264,,,6,5
265,,,6,5
266,,,6,5
267,,,6,5
268,,,6,5
269,,,6,5
270,,,6,5
271,,,6,5
272,,,6,5
273,,,6,5
274,,,6,5
275,,,6,5
276,,,6,5
277,,,6,5
278,,,6,5
279,,,6,5
280,,,7,5
281,,,4,3
282,,,4,7
283,,,4,7
284,,,4,7
285,,,4,7
286,,,4,7
287,,,5,4
288,,,5,4
289,,,5,2
290,,,5,3
