,經度,緯度
0,121.5326867,25.0189011
1,121.5679963,25.0845882
2,121.5241555,25.0241626
3,121.5016007,25.1328039
4,121.5329804,25.0633506
5,121.5305602,25.0598724
6,121.6166006,25.0537964
7,121.6166623,25.0541027
8,121.6166112,25.0538547
9,121.5765739,24.9875816
10,121.5322012,25.0518344
11,121.5795399,25.0788456
12,121.5919575,25.0834026
13,121.5920541,25.0834781
14,121.5386393,25.0022303
15,121.5922015,25.0817563
16,121.5403071,25.0515899
17,121.5635040,25.0420083
18,121.5349914,25.0618921
19,121.5803940,25.0547901
20,121.5045526,25.0432140
21,121.5325320,25.0161789
22,121.5467339,24.9898983
23,121.5242266,25.0523474
24,121.5914308,25.0816025
25,121.5638764,25.0281524
26,121.5627439,25.0287515
27,121.5617461,25.0300833
28,121.5619500,25.0298111
29,121.6150981,25.0455465
30,121.5460835,25.0797237
31,121.5339466,25.0529826
32,121.5235070,25.0227892
33,121.5240943,25.0220394
34,121.5332478,25.0219598
35,121.5231261,25.0445926
36,121.5348652,25.0482528
37,121.5911165,25.0811174
38,121.5934686,25.0843535
39,121.5932856,25.0809867
40,121.5906766,25.0811246
41,121.5904728,25.0812530
42,121.5225871,25.0427902
43,121.5591183,24.9977074
44,121.5296836,25.0169628
45,121.5510887,25.0480300
46,121.5344194,25.0434153
47,121.6174688,25.0680974
48,121.6123493,25.0686547
49,121.6167004,25.0679504
50,121.6148059,25.0687156
51,121.5216920,25.0276954
52,121.5394350,24.9900840
53,121.5393930,24.9900105
54,121.5417635,25.0268274
55,121.5403943,24.9923296
56,121.5316319,25.0534305
57,121.5448223,24.9956296
58,121.5285627,25.0234837
59,121.5209284,25.0499257
60,121.5207287,25.1040131
61,121.5558667,25.0328665
62,121.5548431,25.0317304
63,121.5211033,25.1040093
64,121.5210555,25.1039788
65,121.5209023,25.1039050
66,121.5436941,25.0273950
67,121.5139668,25.0430542
68,121.5219980,25.1038043
69,121.5401846,24.9918548
70,121.5401503,24.9917603
71,121.5756418,25.0779636
72,121.5750650,25.0750903
73,121.5409633,24.9887723
74,121.5427266,25.0251725
75,121.5298476,25.0187594
76,121.5469107,24.9956743
77,121.5311310,25.0438326
78,121.5327590,25.0549549
79,121.5326630,25.0486315
80,121.5524278,24.9877131
81,121.5537850,24.9879222
82,121.5627305,24.9823397
83,121.5673324,24.9835936
84,121.5663525,24.9848257
85,121.5618399,24.9842656
86,121.5620513,24.9838676
87,121.5625066,24.9825852
88,121.5605961,24.9815563
89,121.5612792,24.9853085
90,121.5533383,25.0011156
91,121.5592252,24.9812071
92,121.5448432,24.9970453
93,121.5214573,25.0280148
94,121.5324873,25.0402698
95,121.5321457,25.0338505
96,121.5324864,25.0332951
97,121.5174026,25.0455422
98,121.5173943,25.0455017
99,121.5372771,25.0250786
100,121.5368029,25.0255640
101,121.5075762,25.0340752
102,121.5406313,24.9915799
103,121.5397919,24.9908836
104,121.5420330,24.9930376
105,121.5446394,24.9934114
106,121.5408543,24.9922534
107,121.5404935,24.9975007
108,121.5407221,24.9965051
109,121.5325096,25.0329243
110,121.5586887,25.0517675
111,121.5637213,25.0539867
112,121.5570895,25.0526518
113,121.5572520,25.0522855
114,121.5397649,24.9925530
115,121.5398057,24.9925208
116,121.5410627,24.9905215
117,121.5331595,25.0466989
118,121.5392061,25.0007234
119,121.5388569,25.0016675
120,121.5392029,25.0020063
121,121.6173262,25.0529974
122,121.5417956,24.9913512
123,121.5637301,25.0571860
124,121.5633519,25.0578438
125,121.5126053,25.1212498
126,121.5454739,24.9988792
127,121.5350570,25.0529436
128,121.5337987,25.0207212
129,121.5332669,25.0530261
130,121.5430005,25.0247137
131,121.5333217,25.0259856
132,121.5237152,25.0223664
133,121.5345759,25.0257887
134,121.5526528,25.0011337
135,121.5520016,25.0016393
136,121.5337250,25.0528310
137,121.5432811,25.0574427
138,121.5298633,25.0197852
139,121.5034329,25.0294946
140,121.5278253,25.0193543
141,121.5333110,25.0535321
142,121.5301342,25.0191200
143,121.5333736,25.0549794
144,121.5152097,25.1143883
145,121.5221017,25.1021497
146,121.5253531,25.0950248
147,121.5908299,25.0803900
148,121.5902238,25.0797819
149,121.5900477,25.0795793
150,121.5939462,25.0792363
151,121.5439879,24.9917509
152,121.5443942,24.9989547
153,121.5429152,25.0251439
154,121.5774021,25.0383789
155,121.5448014,24.9940144
156,121.5314453,25.0422787
157,121.5448079,24.9944525
158,121.5480832,25.0412803
159,121.5320378,25.0529976
160,121.5431325,25.0251396
161,121.6076430,25.0727600
162,121.5223420,25.0577100
163,121.5189134,25.0503264
164,121.5196411,25.0503581
165,121.5262836,25.1196549
166,121.5421326,25.0252597
167,121.5454426,24.9938390
168,121.5410795,24.9979506
169,121.5397821,25.0005235
170,121.5329100,25.0169628
171,121.5387842,25.0548255
172,121.5622227,25.0395556
173,121.5179205,25.0529562
174,121.5589268,25.0583509
175,121.5637783,25.0564371
176,121.5411896,25.0481350
177,121.5438886,25.0370143
178,121.5282316,25.0257397
179,121.5554345,25.0230134
180,121.5724928,25.0433173
181,121.6096629,25.0713597
182,121.5345407,25.0255532
183,121.5013235,25.1283207
184,121.5354909,25.0417185
185,121.5221660,25.0576067
186,121.5432337,25.0330895
187,121.5737176,25.0453461
188,121.5437570,25.0513501
189,121.5256956,25.1104188
190,121.5296570,25.0416851
191,121.5371595,25.0035557
192,121.5113920,25.0842707
193,121.5099113,25.0836232
194,121.5394340,25.0001908
195,121.5405785,24.9916551
196,121.5285872,25.0237066
197,121.5326668,25.0467958
198,121.5496954,25.0221587
199,121.5147581,25.0463447
200,121.5139266,25.0526671
201,121.5465309,24.9869645
202,121.5180843,25.0872517
203,121.5343860,25.0514596
204,121.5358907,25.0512177
205,121.5208772,25.0917842
206,121.5533038,25.0407190
207,121.5230089,25.0497733
208,121.5434068,25.0359434
209,121.5483401,25.0810398
210,121.4988580,25.0351439
211,121.5225823,25.0574462
212,121.5432991,25.0331139
213,121.4992046,25.0364742
214,121.4995711,25.0383295
215,121.5417552,24.9941915
216,121.5348202,25.0488469
217,121.5775328,25.0449684
218,121.5511530,25.0412711
219,121.5814199,25.0508362
220,121.5582690,25.0480551
221,121.5653760,25.0515786
222,121.5527626,25.0248332
223,121.5469570,25.0244672
224,121.5908825,25.0804551
225,121.5992944,25.0848945
226,121.6001521,25.0848150
227,121.5322151,25.0523260
228,121.5254622,25.0621715
229,121.5294009,25.0627817
230,121.5590781,24.9977329
231,121.5256414,25.0945502
232,121.5029480,25.0295848
233,121.5030346,25.0295977
234,121.5006592,25.0296377
235,121.5004067,25.0303662
236,121.5251716,25.0949779
237,121.5175505,25.0566400
238,121.5244333,25.0960803
239,121.5255141,25.1094517
240,121.5252424,25.1075940
241,121.5214486,25.1044463
242,121.5211178,25.1043466
243,121.5297470,25.1082737
244,121.5255614,25.0917517
245,121.5265019,25.1071524
246,121.5299264,25.1107163
247,121.5293638,25.1109185
248,121.5586976,24.9980664
249,121.5566798,25.0002268
250,121.5567099,25.0002990
251,121.5639616,25.0530207
252,121.5490574,25.0837825
253,121.5146505,25.0274795
254,121.5409292,24.9951287
255,121.5412043,24.9966605
256,121.5261998,25.0903520
257,121.5263460,25.0903340
258,121.5422587,25.0330954
259,121.5810064,25.0442988
260,121.5231997,25.0571958
261,121.5794036,25.0452255
262,121.5807412,25.0429702
263,121.5804784,25.0429643
264,121.5792273,25.0418159
265,121.5779948,25.0412989
266,121.5779948,25.0414448
267,121.5779939,25.0415410
268,121.5784894,25.0420452
269,121.5780302,25.0421021
270,121.5780169,25.0433182
271,121.5780154,25.0436597
272,121.5780126,25.0438052
273,121.5780138,25.0438593
274,121.5780059,25.0443676
275,121.5781225,25.0448247
276,121.5783180,25.0448231
277,121.5783605,25.0427237
278,121.5799495,25.0427494
279,121.5789435,25.0449560
280,121.5816430,25.0451530
281,121.5386525,25.0078271
282,121.5245734,25.0956432
283,121.5244170,25.0961660
284,121.5242098,25.0961380
285,121.5239429,25.0963574
286,121.5239884,25.0969672
287,121.5415831,25.0248682
288,121.5544068,25.0223044
289,121.5414141,24.9952111
290,121.5410882,25.0030921
291,121.5278207,25.0938925
292,121.5362173,25.0485035
293,121.5352638,25.0482666
294,121.5483557,25.0241111
295,121.5446801,25.0284936
296,121.5390477,25.0045306
297,121.5451818,25.0250310
298,121.5460670,25.0266228
299,121.5473159,25.0281126
300,121.5437153,25.0280282
301,121.5462095,24.9991282
302,121.5470752,24.9993739
303,121.5422657,25.0014781
304,121.5761091,25.0432803
305,121.5232214,25.0948646
