,經度,緯度,x,y
0,,,4,8
1,,,6,4
2,,,3,5
3,,,6,4
4,,,6,4
5,,,6,4
6,,,5,4
7,,,4,3
8,,,4,3
9,,,8,5
10,,,8,5
11,,,4,3
12,,,4,5
13,,,4,5
14,,,5,4
15,,,4,5
16,,,7,1
17,,,4,3
18,,,4,4
19,,,6,7
20,,,6,7
21,,,5,7
22,,,5,7
23,,,5,7
24,,,5,7
25,,,5,7
26,,,3,9
27,,,6,7
28,,,6,7
29,,,6,7
30,,,6,7
31,,,6,7
32,,,6,7
33,,,6,7
34,,,6,7
35,,,6,7
36,,,6,7
37,,,6,7
38,,,6,7
39,,,6,7
40,,,6,6
41,,,6,7
42,,,6,7
43,,,6,7
44,,,6,6
45,,,6,7
46,,,6,7
47,,,6,7
48,,,6,7
49,,,6,7
50,,,3,8
51,,,6,6
52,,,4,4
53,,,6,7
54,,,4,4
55,,,4,7
56,,,5,7
57,,,5,6
58,,,5,7
59,,,5,7
60,,,5,4
61,,,5,4
62,,,4,5
63,,,4,5
64,,,5,4
65,,,5,4
66,,,5,5
67,,,5,7
68,,,6,9
69,,,6,10
70,,,4,5
71,,,4,5
72,,,4,4
73,,,5,5
74,,,5,4
75,,,5,4
76,,,5,4
77,,,5,5
78,,,5,3
79,,,4,5
80,,,8,5
81,,,8,5
82,,,8,5
83,,,8,5
84,,,4,6
85,,,4,6
86,,,4,5
87,,,4,5
88,,,5,4
89,,,8,5
90,,,8,5
91,,,5,5
92,,,3,5
93,,,4,4
94,,,4,5
95,,,8,6
96,,,4,5
97,,,4,5
98,,,4,5
99,,,5,7
100,,,5,4
101,,,6,5
102,,,6,4
103,,,6,4
104,,,2,4
105,,,2,4
106,,,4,5
107,,,4,5
108,,,4,5
109,,,4,5
110,,,4,5
111,,,6,7
112,,,5,7
113,,,6,7
114,,,5,7
115,,,5,7
116,,,2,9
117,,,5,5
118,,,4,5
119,,,4,6
120,,,4,6
121,,,5,7
122,,,5,7
123,,,4,6
124,,,4,6
125,,,3,6
126,,,6,7
127,,,4,5
128,,,4,5
129,,,4,5
130,,,4,6
131,,,4,5
132,,,4,5
133,,,8,6
134,,,5,5
135,,,4,5
136,,,3,5
137,,,4,5
138,,,5,4
139,,,4,5
140,,,5,2
141,,,6,7
142,,,6,6
143,,,7,7
144,,,7,7
145,,,7,6
146,,,7,6
147,,,5,5
148,,,5,5
149,,,4,5
150,,,4,5
151,,,7,7
152,,,5,2
153,,,4,5
154,,,5,5
155,,,5,3
156,,,5,4
157,,,5,4
158,,,4,5
159,,,4,5
160,,,4,5
161,,,4,5
162,,,4,5
163,,,4,6
164,,,5,6
165,,,4,6
166,,,4,3
167,,,8,5
168,,,4,4
169,,,4,4
170,,,4,6
171,,,5,4
172,,,5,5
173,,,5,5
174,,,4,5
175,,,4,5
176,,,4,5
177,,,4,5
178,,,4,5
179,,,4,5
180,,,4,5
181,,,4,6
182,,,4,5
183,,,5,5
184,,,5,5
185,,,5,5
186,,,4,5
187,,,7,6
188,,,4,5
189,,,5,7
190,,,4,5
191,,,5,4
192,,,5,4
193,,,4,3
194,,,4,3
195,,,4,3
196,,,5,5
197,,,4,6
198,,,7,1
199,,,7,1
200,,,4,4
201,,,5,5
202,,,5,5
203,,,8,5
204,,,8,5
205,,,4,6
206,,,4,6
207,,,4,6
208,,,4,6
209,,,4,5
210,,,4,5
211,,,4,5
212,,,4,5
213,,,7,7
214,,,7,7
215,,,7,7
216,,,7,7
217,,,7,6
218,,,7,7
219,,,7,6
220,,,7,6
221,,,7,6
222,,,7,7
223,,,7,6
224,,,7,7
225,,,7,6
226,,,7,6
227,,,7,7
228,,,7,7
229,,,7,7
230,,,7,7
231,,,7,7
232,,,7,6
233,,,7,6
234,,,7,7
235,,,7,7
236,,,7,7
237,,,7,7
238,,,7,7
239,,,7,7
240,,,7,7
241,,,7,7
242,,,7,7
243,,,7,7
244,,,7,7
245,,,7,7
246,,,7,7
247,,,7,7
248,,,7,7
249,,,5,3
250,,,7,7
251,,,7,7
252,,,7,7
253,,,7,7
254,,,7,7
255,,,7,7
256,,,7,7
257,,,7,7
258,,,5,3
259,,,6,2
260,,,7,7
261,,,7,7
262,,,7,7
263,,,7,7
264,,,7,7
265,,,7,7
266,,,7,6
267,,,3,5
268,,,3,5
269,,,3,5
270,,,3,5
271,,,4,4
272,,,6,7
273,,,4,4
274,,,4,3
275,,,7,7
276,,,7,7
277,,,4,3
278,,,6,2
279,,,4,4
280,,,4,4
281,,,5,5
282,,,5,4
