,經度,緯度
0,121.5243721,25.1064928
1,121.5687012,25.0321775
2,121.5132954,25.0420134
3,121.5690263,25.0258250
4,121.5691845,25.0246511
5,121.5686937,25.0269138
6,121.5594331,25.0332576
7,121.5317265,25.0188742
8,121.5309540,25.0188598
9,121.6158849,25.0571098
10,121.6138715,25.0554901
11,121.5368211,25.0128362
12,121.5349254,25.0400885
13,121.5333202,25.0403018
14,121.5471216,25.0361253
15,121.5373426,25.0596020
16,121.5951902,24.9680428
17,121.5373951,25.0073522
18,121.5267705,25.0224415
19,121.5609171,25.0829308
20,121.5613215,25.0826586
21,121.5516334,25.0819007
22,121.5578886,25.0830206
23,121.5575084,25.0835494
24,121.5567780,25.0835079
25,121.5590172,25.0831430
26,121.5141450,25.1217625
27,121.5614406,25.0845438
28,121.5679051,25.0839106
29,121.5673740,25.0839105
30,121.5673150,25.0845907
31,121.5665067,25.0826272
32,121.5672882,25.0841437
33,121.5671244,25.0864951
34,121.5672157,25.0839155
35,121.5679370,25.0834758
36,121.5708687,25.0817317
37,121.5709196,25.0818532
38,121.5731758,25.0811938
39,121.5723141,25.0822907
40,121.5788573,25.0766038
41,121.5783866,25.0820137
42,121.5792717,25.0821206
43,121.5781184,25.0819554
44,121.5788050,25.0798660
45,121.5791162,25.0805122
46,121.5692350,25.0817285
47,121.5663255,25.0819895
48,121.5672680,25.0815104
49,121.5654262,25.0825679
50,121.5128936,25.1188847
51,121.5757149,25.0725201
52,121.5322572,25.0265112
53,121.5676118,25.0823341
54,121.5219637,25.0384872
55,121.5240754,25.0947235
56,121.5461971,25.0834053
57,121.5468640,25.0797430
58,121.5477035,25.0836644
59,121.5468102,25.0839983
60,121.5516149,25.0388606
61,121.5516986,25.0383815
62,121.5326043,25.0416035
63,121.5316511,25.0418270
64,121.5554037,25.0397304
65,121.5550027,25.0397304
66,121.5550412,25.0406769
67,121.5466878,25.0807708
68,121.5674331,25.1394524
69,121.5679184,25.1406478
70,121.5318129,25.0413685
71,121.5320061,25.0403175
72,121.5322694,25.0369918
73,121.5555793,25.0420813
74,121.5459206,25.0360928
75,121.5456414,25.0359443
76,121.5466944,25.0360860
77,121.5554482,25.0426833
78,121.5402791,25.0179969
79,121.5291413,25.0447135
80,121.6158243,25.0449402
81,121.6160534,25.0524142
82,121.6142043,25.0549952
83,121.6143403,25.0549985
84,121.5334345,25.0619012
85,121.5336139,25.0618990
86,121.5295668,25.0445674
87,121.5289953,25.0442155
88,121.5547776,25.0309549
89,121.6155291,25.0529333
90,121.6179461,25.0421232
91,121.5431079,25.0430078
92,121.5133801,25.0460916
93,121.5265280,25.0341180
94,121.5261699,25.0550128
95,121.6147950,25.0678963
96,121.5348865,25.0508253
97,121.5348769,25.0507144
98,121.5245610,25.0570073
99,121.5453767,25.0821909
100,121.5439017,25.0359214
101,121.5683159,25.0412548
102,121.5779410,25.0377472
103,121.5766428,25.0395066
104,121.4983312,25.0369263
105,121.4985841,25.0397090
106,121.5223612,25.0552695
107,121.5225333,25.0562384
108,121.5201721,25.0519760
109,121.5223402,25.0526043
110,121.5362535,25.0441480
111,121.5680296,25.0825853
112,121.5596162,25.0833512
113,121.5716386,25.0814595
114,121.5565538,25.0848507
115,121.5570903,25.0847341
116,121.4971395,25.1362876
117,121.5434941,25.0514819
118,121.5329628,25.0595302
119,121.5329452,25.0612063
120,121.5316856,25.0664633
121,121.5524546,25.0818256
122,121.5554530,25.0837165
123,121.5329724,25.0630981
124,121.5318466,25.0608746
125,121.5098148,25.0609871
126,121.5688663,25.0800799
127,121.5307287,25.0549394
128,121.5299279,25.0550148
129,121.5322860,25.0549297
130,121.5334293,25.0603969
131,121.5373349,25.0598092
132,121.5371789,25.0511246
133,121.6136385,25.0691523
134,121.5403395,25.0522835
135,121.5360853,25.0515554
136,121.5156160,25.0595975
137,121.5398403,25.0521359
138,121.5561890,25.0350269
139,121.5396645,25.0517226
140,121.5409013,24.9901115
141,121.5791469,25.0803851
142,121.5763195,25.0757336
143,121.5958476,25.0846296
144,121.5958861,25.0845224
145,121.5853193,25.0767419
146,121.5851416,25.0751008
147,121.5462576,25.0586828
148,121.5405138,25.0480037
149,121.5397579,25.0523793
150,121.5399425,25.0521310
151,121.5922003,25.0828034
152,121.5409978,24.9893412
153,121.5367705,25.0458892
154,121.5406616,25.0560199
155,121.5563394,25.0002316
156,121.5593103,25.0319506
157,121.5547184,25.0260113
158,121.5200303,25.0496528
159,121.5317532,25.0416408
160,121.5203230,25.0500356
161,121.5201792,25.0499479
162,121.5391370,25.0527287
163,121.5395678,25.0656162
164,121.5409163,25.0657291
165,121.5375426,25.0621436
166,121.5329476,25.0168725
167,121.6171632,25.0520194
168,121.5383939,25.0337787
169,121.5321932,25.0333544
170,121.5311956,25.0627644
171,121.5432095,25.0235292
172,121.5404492,25.0560254
173,121.5420815,25.0561797
174,121.5390449,25.0571152
175,121.5392509,25.0571872
176,121.5392536,25.0572407
177,121.5390550,25.0573696
178,121.5390494,25.0573085
179,121.5392562,25.0573417
180,121.5377562,25.0580785
181,121.5335160,25.0602018
182,121.5362848,25.0487415
183,121.5456040,25.0535649
184,121.5475371,25.0537897
185,121.5474948,25.0529890
186,121.5345651,25.0528343
187,121.5911099,25.0784975
188,121.5379864,25.0517419
189,121.5446019,25.0970642
190,121.5340819,25.0526152
191,121.5557435,25.0241394
192,121.5558508,25.0239158
193,121.5320875,25.0160504
194,121.5321088,25.0164825
195,121.5332464,25.0188171
196,121.5422736,25.0495645
197,121.5289329,25.0628112
198,121.5906752,24.9670727
199,121.5875489,24.9693448
200,121.5286816,25.0245993
201,121.5403251,25.0531564
202,121.5403132,25.0530292
203,121.6160987,25.0533070
204,121.6165228,25.0533582
205,121.5247239,25.0682920
206,121.5242864,25.0675635
207,121.5242650,25.0670288
208,121.5234067,25.0675732
209,121.5314041,25.0513435
210,121.5314054,25.0510992
211,121.5318447,25.0513305
212,121.5364735,25.0560499
213,121.5923537,25.0807354
214,121.5926705,25.0804870
215,121.5956766,25.0844942
216,121.5955606,25.0844717
217,121.5924432,25.0799743
218,121.5920495,25.0801638
219,121.5925762,25.0799069
220,121.5927774,25.0798124
221,121.5926738,25.0798572
222,121.5934861,25.0805588
223,121.5939652,25.0799395
224,121.5938232,25.0801070
225,121.5932758,25.0795821
226,121.5933531,25.0795444
227,121.5960866,25.0842773
228,121.5922095,25.0802233
229,121.5923429,25.0801523
230,121.5924598,25.0800792
231,121.5923798,25.0801297
232,121.5933078,25.0796873
233,121.5930957,25.0797902
234,121.5924267,25.0801103
235,121.5918249,25.0803917
236,121.5952343,25.0838467
237,121.5953601,25.0837445
238,121.5955959,25.0834666
239,121.5954513,25.0839906
240,121.5959094,25.0830943
241,121.5962259,25.0831478
242,121.5965961,25.0827105
243,121.5967409,25.0825380
244,121.5960543,25.0833057
245,121.5963386,25.0825891
246,121.5961723,25.0827858
247,121.5970203,25.0818495
248,121.5967731,25.0821226
249,121.5426997,25.0013771
250,121.5913337,25.0820721
251,121.5933647,25.0836994
252,121.5928333,25.0831509
253,121.5936055,25.0838746
254,121.5913019,25.0817327
255,121.5913913,25.0816615
256,121.5929993,25.0834179
257,121.5912639,25.0818012
258,121.5533611,25.0003550
259,121.5664756,24.9886514
260,121.5930493,25.0847634
261,121.5927711,25.0848267
262,121.5922685,25.0836955
263,121.5919082,25.0831550
264,121.5925559,25.0838838
265,121.5927380,25.0840296
266,121.5931991,25.0686277
267,121.5084405,25.0442597
268,121.5072133,25.0447085
269,121.5070768,25.0447450
270,121.5054177,25.0448074
271,121.5269104,25.0331513
272,121.5792619,25.0823266
273,121.5314764,25.0237422
274,121.5385466,25.0020192
275,121.5917654,25.0811752
276,121.5921469,25.0810534
277,121.5391273,25.0021210
278,121.5753937,24.9876557
279,121.5230316,25.0265962
280,121.5200345,25.0332515
281,121.5438410,25.0537471
282,121.5566811,25.0215803
283,121.5342685,25.0539243
284,121.5222316,25.1012201
285,121.5224577,25.1016431
286,121.5738945,24.9881526
287,121.5180392,25.0505549
288,121.5168751,25.0315354
289,121.5171267,25.0311499
290,121.5303965,25.0602595
291,121.5313195,25.0603906
292,121.5403410,25.0181109
293,121.5403410,25.0180398
294,121.5403434,25.0179506
295,121.5402777,25.0180399
296,121.5402759,25.0180881
297,121.5402733,25.0181324
298,121.5316590,25.0182095
299,121.5325554,25.0171742
300,121.5248797,25.0271065
301,121.5389699,25.0531000
302,121.5346725,25.0512380
303,121.5434908,25.0422103
304,121.5257169,25.0456970
305,121.5291208,25.0513807
306,121.5577478,25.0304724
307,121.5552043,25.0001003
308,121.5551198,24.9998915
309,121.5549686,24.9996599
310,121.5557783,24.9992587
311,121.5558677,24.9992352
312,121.5557301,24.9996294
313,121.5447156,25.0544340
314,121.5499221,25.0404753
315,121.5557667,25.0430507
316,121.5616180,25.0435128
317,121.5334349,25.0511278
318,121.5253300,25.0228589
319,121.5281197,25.0230594
320,121.5282263,25.0224821
321,121.5266016,25.0227507
322,121.5261651,25.0220859
323,121.5262492,25.0220310
324,121.5302530,25.0654391
325,121.5339603,25.0616900
326,121.5202513,25.0804681
327,121.5177711,25.0819088
328,121.5200380,25.0798110
329,121.5349775,25.0608889
330,121.5349768,25.0607621
331,121.5347725,25.0620712
332,121.5349821,25.0616677
333,121.5349740,25.0615280
334,121.5350050,25.0612381
335,121.5349768,25.0608433
336,121.5350387,25.0607344
337,121.5349678,25.0605432
338,121.5349833,25.0616213
339,121.5349724,25.0614747
340,121.5350048,25.0611839
341,121.5349789,25.0609291
342,121.5349775,25.0608011
343,121.5346713,25.0619092
344,121.5286731,25.0315274
345,121.5439935,25.0359489
346,121.5501334,25.0339061
347,121.5348803,25.0507834
348,121.5147962,25.0460982
349,121.5412979,24.9908907
350,121.5385749,25.0321470
351,121.5231739,25.0509528
352,121.5429846,25.0455090
353,121.5603710,25.0309917
354,121.5071157,25.0435512
355,121.5603360,25.0308745
356,121.5609352,25.0302238
357,121.5460776,25.0342244
358,121.5080839,25.0454441
359,121.5085358,25.0453465
360,121.5566120,25.0268665
361,121.5565232,25.0268783
362,121.5563623,25.0269131
363,121.5562744,25.0269978
364,121.5563473,25.0270936
365,121.5557273,25.0276342
366,121.5556892,25.0273882
367,121.5556487,25.0273406
368,121.5555894,25.0272960
369,121.5555280,25.0272354
370,121.5565268,25.0276579
371,121.5140658,25.0447559
372,121.5459351,25.0407086
373,121.5057563,25.0444508
374,121.5344975,25.0133450
375,121.5301015,25.0335186
376,121.5005708,25.0363246
377,121.5005934,25.0360612
378,121.5007222,25.0360515
379,121.5043476,25.0429352
380,121.5197526,25.0702369
381,121.5137847,25.0435662
382,121.5133411,25.0444594
383,121.5294628,25.0578049
384,121.5415972,25.0625567
385,121.5130712,25.0438275
386,121.5130766,25.0439356
387,121.5130578,25.0439939
388,121.5130665,25.0444007
389,121.5552749,25.0420861
390,121.5551059,25.0419322
391,121.5551376,25.0420874
392,121.5549790,25.0420773
393,121.5547484,25.0420794
394,121.5547943,25.0419236
395,121.5275226,25.0343671
396,121.5419976,25.0485183
397,121.5420051,25.0486540
398,121.5420514,25.0474137
399,121.5420706,25.0472988
400,121.5414855,25.0484432
401,121.5328991,25.0173525
402,121.5282072,25.0522848
403,121.5289164,25.0518574
404,121.5330320,25.0343976
405,121.5411070,24.9917165
406,121.5414065,25.0484175
407,121.5434192,25.0533895
408,121.5433282,25.0533885
409,121.5431937,25.0534076
410,121.5434184,25.0534691
411,121.5434242,25.0535581
412,121.5434067,25.0536623
413,121.5434050,25.0538304
414,121.5435934,25.0540054
415,121.5433895,25.0542824
416,121.5434717,25.0547121
417,121.5436839,25.0544869
418,121.5408306,25.0477994
419,121.5443982,24.9927726
420,121.5442287,24.9930926
421,121.5437537,24.9928331
422,121.5363734,25.0485758
423,121.5363151,25.0452495
424,121.5326452,25.0155342
425,121.5398110,25.0422288
426,121.5413100,25.0220761
427,121.5409261,25.0216679
428,121.5419272,25.0219291
429,121.5413918,25.0220798
430,121.5421471,25.0216483
431,121.5427610,25.0217255
432,121.5427517,25.0221248
433,121.5429045,25.0216763
434,121.5429260,25.0219534
435,121.5429367,25.0222353
436,121.5429314,25.0223155
437,121.5429246,25.0225817
438,121.5427730,25.0225741
439,121.5426283,25.0229426
440,121.5427597,25.0237550
441,121.5428167,25.0241335
442,121.5412040,25.0228235
443,121.5411937,25.0229447
444,121.5410337,25.0222803
445,121.5412094,25.0233436
446,121.5410135,25.0233962
447,121.5431894,25.0218705
448,121.5421075,25.0222439
449,121.5411667,25.0484347
450,121.5417614,25.0484007
451,121.5319921,25.0165973
452,121.5306544,25.0167357
453,121.5305685,25.0166610
454,121.5312820,25.0404316
455,121.5449685,25.0515877
456,121.5352405,25.0502967
457,121.5259137,25.0402517
458,121.5497236,25.0519265
459,121.5500709,25.0519206
460,121.5500508,25.0543771
461,121.5546855,25.0399153
462,121.5051032,25.1299395
463,121.5533057,25.0000535
464,121.5408881,25.0483940
465,121.5409855,25.0483948
466,121.5400451,25.0481557
467,121.5399430,25.0481624
468,121.5161465,25.0441060
469,121.5160203,25.0454326
470,121.5396624,24.9935204
471,121.5427501,25.0483794
472,121.5359406,25.0487661
473,121.5503512,24.9873773
474,121.5503836,24.9873822
475,121.5505288,24.9874094
476,121.5505567,24.9874124
477,121.5505814,24.9874159
478,121.5522205,24.9879243
479,121.5521750,24.9879151
480,121.5520770,24.9879156
481,121.5519725,24.9878973
482,121.5464023,24.9901505
483,121.5511204,24.9875128
484,121.5508729,24.9874750
485,121.5508101,24.9874639
486,121.5518113,24.9878840
487,121.5517035,24.9878641
488,121.5414033,24.9897100
489,121.5415609,25.0471221
490,121.5415076,25.0471143
491,121.5515860,24.9875806
492,121.5522865,24.9876677
493,121.5521664,24.9876584
494,121.5520104,24.9876432
495,121.5461548,24.9866568
496,121.5465429,24.9867100
497,121.5475325,24.9870699
498,121.5474306,24.9870528
499,121.5463415,24.9869349
500,121.5422400,25.0488670
501,121.5422329,25.0489083
502,121.5422443,25.0490835
503,121.5422355,25.0489902
504,121.5422366,25.0486053
505,121.5282758,25.0261846
506,121.5463864,25.0453371
507,121.5323010,25.0154473
508,121.5422312,25.0500856
509,121.5422332,25.0501097
510,121.5422475,25.0501513
511,121.5343595,25.0238609
512,121.5661210,25.0630134
513,121.5784571,25.0735969
514,121.5301629,25.0256706
515,121.5109869,25.0653560
516,121.5416580,25.0477112
517,121.5414360,25.0477871
518,121.5402554,25.0481693
519,121.5402946,25.0479460
520,121.5357688,25.0119693
521,121.5096150,25.0420349
522,121.5074325,25.0434710
523,121.5076858,25.0433177
524,121.5075957,25.0433329
525,121.5069534,25.0431786
526,121.5556279,25.0009878
527,121.5222415,25.0519270
528,121.5243977,25.0523356
529,121.5422434,25.0480749
530,121.5079857,25.0426672
531,121.5465903,25.0439211
532,121.5228049,25.1030716
533,121.5630469,25.0612415
534,121.5660345,25.0587411
535,121.5658823,25.0629687
536,121.5472054,25.0533427
537,121.5809735,25.0717670
538,121.5759726,25.0723382
539,121.5279251,25.0215923
540,121.5277260,25.0218136
541,121.5275396,25.0219273
542,121.5547711,25.0220450
543,121.5419222,25.0534001
544,121.5420239,25.0489383
545,121.5301638,25.0330756
546,121.5300833,25.0330890
547,121.5569695,24.9985840
548,121.5911981,25.0827917
549,121.5324716,25.0377198
550,121.5323394,25.0379716
551,121.5421249,25.0494564
552,121.5402663,25.0475845
553,121.5938440,25.0501945
554,121.5127817,25.0441531
555,121.5189674,25.0535686
556,121.5190775,25.0530741
557,121.5354393,25.0121369
558,121.5354167,25.0121983
559,121.5894407,25.0786584
560,121.5887779,25.0788382
561,121.5938034,25.0848724
562,121.5131967,25.0376700
563,121.5827128,25.0449577
564,121.5355883,25.0482532
565,121.5295730,25.0515222
566,121.4703511,25.1334574
567,121.4993375,25.1385969
568,121.5225273,25.1045042
569,121.5863297,25.0451211
570,121.5429140,25.0483779
571,121.5433606,25.0513076
572,121.5359569,25.0514584
573,121.5317141,25.0187029
574,121.5258268,25.0272376
575,121.5454827,25.0796753
576,121.5456034,25.0796756
577,121.5457590,25.0796801
578,121.5459628,25.0793844
579,121.5459306,25.0795301
580,121.5459092,25.0796516
581,121.5460031,25.0796686
582,121.5463893,25.0797286
583,121.5464805,25.0797189
584,121.5466548,25.0797359
585,121.5318866,25.0546947
586,121.5175610,25.1147381
587,121.5560193,25.0003593
588,121.5423541,24.9896991
589,121.5038303,25.0446839
590,121.5396550,25.0468064
591,121.5554750,25.0418541
592,121.5567265,25.0426203
593,121.5228093,25.0397185
594,121.5318899,25.0158432
595,121.5611196,25.0310480
596,121.5614236,25.0307356
597,121.5214092,25.0575929
598,121.5189006,25.0572836
599,121.5331856,25.0471802
600,121.6163568,25.0573347
601,121.6152170,25.0551332
602,121.5925712,25.0541600
603,121.6052835,25.0723976
604,121.5296300,25.1197461
605,121.6131331,25.0582155
606,121.5292751,25.0320651
607,121.5294447,25.0320277
608,121.5661141,25.0523741
609,121.5648298,25.0511542
610,121.5664089,25.0508110
611,121.5658992,25.0515648
612,121.5954919,25.0682446
613,121.5310350,25.0341227
614,121.5476004,25.0427286
615,121.5776669,24.9873904
616,121.5764615,24.9882233
617,121.5492692,25.0436986
618,121.5315221,25.0184157
619,121.5477210,25.0427281
620,121.5263964,25.0225200
621,121.5454320,24.9941459
622,121.5304333,25.0139904
623,121.5549686,24.9803042
624,121.5346885,25.0402489
625,121.5218948,25.0296947
626,121.5282201,25.0262637
627,121.5077079,25.0475900
628,121.5645173,25.0334657
629,121.5534569,25.0399967
630,121.5464737,25.0588732
631,121.5226346,25.0437928
632,121.5249155,25.0435147
633,121.5185082,25.0320322
634,121.5230646,25.0443688
635,121.5230519,25.0442672
636,121.5230244,25.0441118
637,121.5229888,25.0439754
638,121.5229488,25.0438753
639,121.5227862,25.0437922
640,121.5223832,25.0439047
641,121.5215306,25.0410465
642,121.5215903,25.0410364
643,121.5223110,25.0398334
644,121.5223623,25.0398186
645,121.5224397,25.0398050
646,121.5225186,25.0397904
647,121.5227012,25.0397405
648,121.5225956,25.0397682
649,121.5223469,25.0396813
650,121.5223993,25.0396673
651,121.5223704,25.0396593
652,121.5222899,25.0396966
653,121.5221929,25.0398502
654,121.5235400,25.0395669
655,121.5234738,25.0394398
656,121.5234331,25.0394495
657,121.5240514,25.0434365
658,121.5241771,25.0434157
659,121.5243098,25.0433756
660,121.5245186,25.0433075
661,121.5245425,25.0433059
662,121.5247731,25.0436310
663,121.5247672,25.0436078
664,121.5247567,25.0435686
665,121.5247462,25.0435274
666,121.5247287,25.0434702
667,121.5249330,25.0435686
668,121.5249026,25.0434734
669,121.5249623,25.0432223
670,121.5214540,25.0441038
671,121.5215600,25.0440835
672,121.5943102,25.0498758
673,121.5141067,25.0466226
674,121.5140994,25.0467196
675,121.5141024,25.0464424
676,121.5448478,25.0498556
677,121.5148843,25.0444092
678,121.5305256,25.0424635
679,121.5333630,25.0600279
680,121.5190935,25.0535544
681,121.5191354,25.0537204
682,121.5570462,25.0284015
683,121.5303698,25.0427865
684,121.5171050,25.0453999
685,121.5170009,25.0452388
686,121.5506267,25.0417250
687,121.5505317,25.0417250
688,121.5506387,25.0404495
689,121.5504199,25.0404649
690,121.5498177,25.0404948
691,121.5538439,25.0397659
692,121.5413594,24.9926497
693,121.5413723,24.9925210
694,121.5417827,25.0423700
695,121.5925559,25.0816878
696,121.5926210,25.0818372
697,121.5928549,25.0815772
698,121.5464286,25.0834691
699,121.5014114,25.0219707
700,121.5020026,25.0220590
701,121.5564468,25.0420499
702,121.5593225,25.0519802
703,121.5583781,25.0518432
704,121.5072127,25.0452128
705,121.5912375,25.0812531
706,121.5932553,25.0829418
707,121.5913096,25.0813456
708,121.5920473,25.0811564
709,121.5300300,25.1107058
710,121.5068045,25.0385155
711,121.5466164,25.0434395
712,121.5430126,25.0236840
713,121.5912776,25.0817693
714,121.5931043,25.0812298
715,121.5911952,25.0805607
716,121.5915530,25.0803956
717,121.5934661,25.0794934
718,121.5912584,25.0805372
719,121.5914076,25.0804635
720,121.5934093,25.0795195
721,121.5906122,25.0813430
722,121.5909154,25.0821093
723,121.5904473,25.0817645
724,121.5904463,25.0813508
725,121.5911165,25.0821519
726,121.5915832,25.0828184
727,121.5916355,25.0827589
728,121.5685725,25.0412484
729,121.5675818,25.0412501
730,121.5256135,25.0946286
731,121.5387863,25.0336950
732,121.5786776,25.0798838
733,121.5318566,25.0199492
734,121.5479737,24.9973423
735,121.5355328,25.0123617
736,121.5355568,25.0123135
737,121.5355879,25.0122683
738,121.5051685,25.0456396
739,121.5037472,25.0441677
740,121.5059964,25.0454565
741,121.5058177,25.0454866
742,121.5247742,25.0442057
743,121.5388955,25.0462893
744,121.5380139,25.0461692
